cluster_number,cluster_id,cluster_name,product_group,products,link,image
8,5,"Pop Culture Icons: Kardashian, Music & Fashion",Kardashian-Jenner Fashion & Beauty,Kendall Jenner’s Model-Inspired Fashion,https://www.vogue.co.uk/fashion/article/kendall-jenner-style,"https://media.vogue.co.uk/photos/629494e673fcb8b791b84c36/2:3/w_1920,c_limit/GettyImages-1346773842.jpg"
8,5,"Pop Culture Icons: Kardashian, Music & Fashion",Pop Music Merchandise,Britney Spears Iconic Merch,https://store.britneyspears.com/,https://store.britneyspears.com/cdn/shop/files/BS_BOMT_banner1_fad32866-7966-4439-961e-b09d97a715c3.png?v=1705073038&width=1600
8,5,"Pop Culture Icons: Kardashian, Music & Fashion",Pop Music Merchandise,Lady Gaga Collections,https://shop.ladygaga.com/,https://shop.ladygaga.com/cdn/shop/files/Banner_Desktop-02.png?v=1727192456&width=2000
8,5,"Pop Culture Icons: Kardashian, Music & Fashion",Pop Music Merchandise,Zendaya Music & Movie Combo Box Set,https://www.amazon.com/Spider-man-Collection-Blu-ray-Spider-Verse-Homecoming/dp/B08FV6TRSH,https://m.media-amazon.com/images/I/51mICCdRL6L._SX342_.jpg
8,5,"Pop Culture Icons: Kardashian, Music & Fashion",Celebrity Fashion & Lifestyle,Beyoncé Ivy Park Collection,https://www.vanityfair.com/style/photos/2021/12/beyonces-new-ivy-park-new-collection-is-here-shop-the-halls-of-ivy,https://media.vanityfair.com/photos/61b11d0c79f401e1b62bec8f/3:4/w_1920%2Cc_limit/HC5969_FR_Torso.jpg
8,5,"Pop Culture Icons: Kardashian, Music & Fashion",Celebrity Fashion & Lifestyle,Serena Williams x Nike Tennis Apparel,Serena Williams Collection. Nike.com,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/39f91efc-7cd7-4742-ba66-949f38823e8f/W+NSW+SWDC+OS+BOMBER.png"
8,5,"Pop Culture Icons: Kardashian, Music & Fashion",Celebrity Fashion & Lifestyle,Miley Cyrus Vintage Rock Apparel,https://shop.mileycyrus.com/,https://shop.mileycyrus.com/cdn/shop/files/FlatlayFront_360x.png?v=1715892795
8,6,"NBA, WWE & Celebrity TV Hosts",NBA Superstar Merchandise,LeBron James Official Jerseys,https://global.nbastore.com/en/?CMP=FUS-KYDILES9&portal=KYDILES9,https://images.footballfanatics.com/ohio-bobcats/ncaa-ohio-college-basketball-jersey-lebron-james-mens_ss5_p-200411184+u-pwsmtovlsuqucdgrd3q7+v-ts0oyykl1adviydiltkq.jpg?_hv=2&w=340
8,6,"NBA, WWE & Celebrity TV Hosts",NBA Superstar Merchandise,"Kobe Bryant ""Mamba Forever"" Hoodie",https://stockx.com/nike-kobe-bryant-mamba-hoodie-black?msockid=297aa8aeecfe680f1fe3bcd6ed986912,https://images.stockx.com/images/vertical/Nike-Kobe-Bryant-Mamba-Hoodie-Black_1.jpg?fit=fill&bg=FFFFFF&w=396&h=504&auto=compress&dpr=1&fm=avif&q=57
8,6,"NBA, WWE & Celebrity TV Hosts",NBA Superstar Merchandise,NBA All-Star Game Tickets,https://nbaexperiences.com/nba-all-star-2025?adgroupid=158505686626&utm_campaign=21018554355&utm_source=google&utm_medium=cpc&utm_content=690968965194&utm_term=all%20star%20weekend%202025&gad_source=1&gclid=Cj0KCQjwo8S3BhDeARIsAFRmkOO4f49vhbvMToKCqdbiwHmQQM3RuUqm49E8fYEeHBWBZJmr34diKUUaAp8XEALw_wcB,https://assets.quintevents.com/m/6c8716490d2f864b/72_DPI_WEB-NBA-Experiences-2024-All-Star-EXP-Lounge-001.jpg
